KEY	영어	한국어	중국어(간체)
UPCloudErrorManager:117	Device is disconnected by \nother device.	다른 기기에서 디바이스 해제하였습니다.	在另一台设备上解除了设备连接。
UPCloudErrorManager:119	Device is disconnected \nbecause the account has been deleted.	계정 삭제에 의해 디바이스 해제하였습니다.	由于账户被删除，解除了设备连接。
UPCloudErrorManager:120	Device is disconnected because password has changed. \nPlease log in again.	비밀번호가 변경 되었습니다.\n다시 로그인 해주세요.	由于密码被更改，解除了设备连接。
UPCloudErrorManager:Error_AIRPLANE	Please turn off airplane mode to access the data.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
UPCloudErrorManager:alertNetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	Wi-Fi가 아닌 셀룰러 데이터를 \n이용하여 연결 시 별도의 데이터 통화료가\n 부과 될 수 있습니다.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
UPCloudErrorManager:Alert_NetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
UPCloudErrorManager:Alert_NetworkDisconnectedWithDownload	You need an internet connection to download the document.\nPlease connect to an internet or Wi-Fi network.	네트워크에 연결되지 않아\n문서를 다운로드 할 수 없습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	由于未连接网络，而无法下载文件。\n请链接蜂窝数据或 Wi-Fi 后使用。
UPCloudErrorManager:Alert_NoMorePop	You need an internet connection to sync the document.\nPlease connect to an internet or Wi-Fi network.	네트워크 연결이 되지 않아\n문서를 동기화 할 수 없습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	由于未连接网络，而无法进行文件同步。\n请连接蜂窝数据或 Wi-Fi 后使用。
UPCloudErrorManager:btnNoMorePop	Do not show again	다시 보지 않기	不再显示
UPCloudErrorManager:onbbibbo	Server is undergoing a maintenance.\nPlease try again after few minutes.\nCompletion : %@	서비스 정기 점검중입니다.\n잠시 후 다시 시도해 주세요.\n완료 예정 시간 : %@	正在进行系统定期检查。\n请稍后重试。\n预计完成时间：%@
UPCloudErrorManager:ontempbbibbo	Server is undergoing an emergency maintenance.\nPlease try again after few minutes.\nCompletion : %@	서비스 긴급 점검중입니다.\n잠시 후 다시 시도해 주세요.\n완료 예정 시간 : %@	正在进行系统紧急检查。\n请稍后重试。\n预计完成时间：%@
UPCloudErrorManager:bbibboplanned	Server maintenance is scheduled.\nStart : %1$s \nCompletion : %@	서비스 점검 예정입니다.\n점검 예정 시간 : %@\n완료 예정 시간 : %@	计划进行系统检查。\n预计开始时间：%@\n预计完成时间：%@
UPCloudErrorManager:onbbibbofailed	Cannot retrieve service status.\nPlease retry in a few minutes.	서비스 상태를 가져올 수 없습니다.\n잠시 후 다시 시도해 주세요.	无法获得业务状态。\n请稍后重试。
UPCloudErrorManager:btnShowAgain	Do not show again	다시 보지 않기	不再显示
UPCloudErrorManager:btnConfirm	OK	확인	确认
UPCloudErrorManager:Timeout	The network is busy.\nPlease try it again later.	네트워크 상태가 원활하지 않습니다.\n잠시 후 다시 시도해 주세요.	网络状态不稳定，请稍后再试
			
UPCloudTaskManager:tasklog1	%@ has been shared.	%@' 를 공유하였습니다.	已共享\%@\"！"
UPCloudTaskManager:tasklog2	%@ has been shared to %@.	%@' 를 '%@' 님에게 공유하였습니다.	已把\%@\"共享给\"%@\"！"
UPCloudTaskManager:tasklog3	%@ has been shared to %d users excluding %@.	%@' 를 '%@' 님 외 %d명에게 공유하였습니다.	已把\%@\"共享给\"%@\"外 %d 名联系人！"
UPCloudTaskManager:tasklog4	Except %@, %d items have been shared to%@.	%@' 외 %d 개를 '%@' 님에게 공유하였습니다.	已把\%@\"外 %d 个文件共享给\"%@\"！"
UPCloudTaskManager:tasklog5	Except %@, %d items have been shared to %d users excluding %@.	%@' 외 %d 개를 '%@' 님 외 %d명에게 공유하였습니다.	已把\%@\"外 %d 个文件共享给\"%@\"外 %d 名联系人。"
UPCloudTaskManager:tasklogtaskdelete	This document is no longer shared.	문서 공유가 중단되었습니다.	文件共享已被中断！
UPCloudTaskManager:tasklogupdate	%@ has been updated.	%@'를 업데이트하였습니다.	已更新\%@\"！"
UPCloudTaskManager:tasklogfileadd1	%@ has been shared.	%@'이 공유되었습니다.	\%@\"已被共享！"
UPCloudTaskManager:tasklogfileadd2	Except %@. %d items have been shared	%@'외 %d개가 공유되었습니다.	\%@\"外 %d 个文件已被共享！"
UPCloudTaskManager:tasklogfilerenamed	The name of the document has been changed from '%@' to '%@'.	문서 이름이 '%@'에서 '%@'로 변경되었습니다.	文件名由\%@\"更改为\"%@\"。"
UPCloudTaskManager:tasklogfiledelete	%@ is no longer shared.	%@'의 공유가 중단되었습니다.	\%@\"的共享已被中断！"
UPCloudTaskManager:tasklogguestadd	%@ has been invited.	%@'님을 초대하였습니다.	已邀请\%@\"！"
UPCloudTaskManager:tasklogguestadd1	%d users excluding %@ have been invited.	%@'님 외 %d명을 초대하였습니다.	已邀请\%@\"外 %d 名联系人！"
UPCloudTaskManager:tasklogguestdelete	%@ no longer has an access to the document.	%@'님과의 문서 공유가 중단되었습니다.	与\%@\"的文件共享已被中断！"
UPCloudTaskManager:tasklogguestdelete2	Except %@, %d users no longer have an access to the document.	%@'님 외 %d명과의 문서 공유가 중단되었습니다.	与\%@\"外 %d 名联系人的文件共享已被中断！"
UPCloudTaskManager:tasklogdelete	%@ no longer has an access to the document.	%@'님과의 문서 공유가 중단되었습니다.	与\%@\"的文件共享已被中断！"
UPCloudTaskManager:tasklogguestzero	%@ no longer has an access to the document.	%@'님과의 문서 공유가 중단되었습니다.	与\%@\"的文件共享已被中断！"
			
UPCloudManager:tryLogin	Please sign in again. (%d)	다시 로그인 해주세요.(%d)	请重新登录！(%d)
			
BPopDocList:lblTitle	Document Information	문서 정보	文件信息
			
EGORefreshTableHeaderView:LastUpdated_1	Most Recent Updated Date	최신 Update 일자	最新更新日期
EGORefreshTableHeaderView:Normal_1	Synchronize Polaris	Polaris 동기화	Polaris 同步
EGORefreshTableHeaderView:Normal_2	Pull down to refresh	화면을 당겨주세요.	下拉刷新
EGORefreshTableHeaderView:Normal_3	Refresh	새로 고침	刷新
EGORefreshTableHeaderView:Normal_4	Pull down to refresh	화면을 당겨주세요.	下拉刷新
EGORefreshTableHeaderView:Pulling_1	Synchronize Polaris	Polaris 동기화	Polaris 同步
EGORefreshTableHeaderView:Pulling_2	Release to refresh	화면을 놓아주세요.	释放刷新
EGORefreshTableHeaderView:Pulling_3	Refresh	새로 고침	刷新
EGORefreshTableHeaderView:Pulling_4	Release to refresh	화면을 놓아주세요.	释放刷新
EGORefreshTableHeaderView:Loading_1	Synchronizing Polaris...	Polaris 동기화 중...	Polaris 正在同步……
EGORefreshTableHeaderView:Loading_2	Please wait.	잠시만 기다려 주세요.	请稍等
EGORefreshTableHeaderView:Loading_3	Refreshing...	새로 고침 중...	正在刷新……
EGORefreshTableHeaderView:Loading_4	Please wait.	잠시만 기다려 주세요.	请稍等
			
ViewController:migrationText	Importing data of the previous version...	이전버전의 데이터를 가져오고 있습니다.	正在获取旧版本数据。
			
FXNoticeConnection:btnShowAgain	Do not show again	다시 보지 않기	不再显示
FXNoticeConnection:btnConfirm	Confirm	확인	确认
			
FXVersionCheckConnection:btnShowAgain	Do not show again	다시 보지 않기	不再显示
FXVersionCheckConnection:btnConfirm	Confirm	확인	确认
FXVersionCheckConnection:btnCancel	Close	닫기	关闭
FXVersionCheckConnection:updateAvailable	There is a new update! \n(Version %@)\n Please update now for better service.	새로운 업데이트가 있습니다.\n(버전 %@)\n원활한 사용을 위해 최신 버전으로 업데이트해주세요.	有新版更新。\n(版本 %@)\n请升级最新版本，以确保业务的正常使用。
FXVersionCheckConnection:updateAvailableMandatory	There is a new update! \n(Version %@)\n For convenient of use, \n please update to the latest version.	새로운 업데이트가 있습니다.\n(버전 %@)\n원활한 사용을 위해 최신 버전으로\n업데이트가 필요합니다.	有新版更新。\n(版本 %@)\n需要升级最新版本，确保业务的正常使用。
			
FXStorageData:cloud	Cloud	클라우드	云盘
			
FXTabVC:Recent	Recent	최근	近期
FXTabVC:Browser	Browse	탐색	浏览
FXTabVC:Share	Share	공유	共享
FXTabVC:Information	Information	정보	信息
FXTabVC:Setting	Setting	설정	设置
			
FXTabBrowserVC:btnEdit_edit	Select	선택	管理
FXTabBrowserVC:btnEdit_done	Done	완료	完成
FXTabBrowserVC:btnEdit_cancel	Cancel	취소	取消
FXTabBrowserVC:lblTitle	Manage Documents	문서 관리	管理文件
FXTabBrowserVC:search	Search	검색	搜索
FXTabBrowserVC:aRenameText	The text entered exceeded the maximum length.	최대 길이를 초과하였습니다.	已超过最大长度！
FXTabBrowserVC:specialCharacter	Special characters (\\, /, :, *, ?, \, “, <, >, and |)\ncannot be used.	특수문자 (\\ / : * ? \ “ < > |)는\n사용할 수 없습니다.	不能使用特殊字符 (\\ / : * ? \ “ < > |)！
FXTabBrowserVC:Error_Editing	Complete editing and then try it again.	편집모드 종료후 실행해 주세요	请关闭编辑模式后运行。
FXTabBrowserVC:MyDocument	My Document	내 문서	我的文件
FXTabBrowserVC:Recent	Recent Document	최근 문서	最近所用文件
FXTabBrowserVC:Shared	Shared Document	공유 문서	共享的文件
FXTabBrowserVC:lblShareTitle	Share it	공유하세요	共享
FXTabBrowserVC:popshare.description.more	Do you want to share %d document(s) excluding %@?	%@' 외 %d개의 문서를 공유하시겠습니까?	要共享\%@\"外 %d 个文件吗？"
FXTabBrowserVC:popshare.description.one	Do you wnat to share %@?	%@' 문서를 공유하시겠습니까?	要共享\%@\"文件吗？"
FXTabBrowserVC:Sort	Sort	정렬	排序
FXTabBrowserVC:NeverSeeAgain	Do not show again	다시 보지 않기	不再显示
FXTabBrowserVC:Open	Done	확인	确认
FXTabBrowserVC:GuestPopTitle	Shared Documents	공유 받은 문서	共享的文档
FXTabBrowserVC:GuestPopMsg	Shared Documents are only available for viewing. Please save files in My Documents to edit shared documents.	공유 받은 문서는 보기만 가능합니다.\n내문서에 다른 이름으로 저장 한 뒤, 편집할 수 있습니다.	由其他人共享的文档只允许阅读。\n以其他文件名保存到我的文档后即可对其进行编辑。
FXTabBrowserVC:PosDescThanks	Thank you for installing Polaris Office Sync. As a thank you, we want give you an additional 300 MB of Polaris Office storage. Please rate us in the app stores!	Desktop 용 Polaris Office Sync를 설치해 주셔서 감사합니다. 감사의 뜻으로 300MB의 보너스 용량을 지급하였습니다. 기분 좋은 느낌을 리뷰로 남겨주세요!	感谢您使用 Polaris Office Sync。给您赠送 300MB 存储空间，以表达我们的谢意。请对我们撰写评论吧！
FXTabBrowserVC:PosBtnReview	Review	리뷰 달기	撰写评论
FXTabBrowserVC:PosBtnClose	Close	닫기	关闭
			
FXStorageLocalVC:btnItunes	Copy from iTunes	iTunes 에서 복사	从 iTunes 进行复制
FXStorageLocalVC:loginError	Failed to log in	로그인 오류	登录错误
FXStorageLocalVC:Logout	Log Out	로그아웃	退出登录
FXStorageLocalVC:CompleteLogout	Complete Logout.	Complete Logout.	完成退出
FXStorageLocalVC:PolarisLink	Polaris Office	Polaris Office	Polaris Office
			
FXStorageCell:delTitle	Delete	삭제	删除
			
FXRecentTitleVC:editDone	Done	완료	完成
FXRecentTitleVC:edit	Edit	편집	编辑
FXRecentTitleVC:recentEditTitle	Select Document	도큐먼트 선택	选择文档
FXRecentTitleVC:search	Search	검색	检索
FXRecentTitleVC:close	Close	닫기	关闭
			
FXBrowserOpVC:sameFolderPath	Cannot work in the same path.	동일한 경로에는 수행할 수 없습니다.	无法在相同路径执行！
FXBrowserOpVC:donotCopyToZip	Cannot save a copy in the Zip folder.	압축폴더 안으로 복사 할 수 없습니다.	不能复制到压缩文件内！
FXBrowserOpVC:donotMoveToZip	Cannot move to the Zip folder.	압축폴더 안으로 이동 할 수 없습니다.	不能移动到压缩文件内！
FXBrowserOpVC:donotCopyZipToCloud	The file in the zip floder cannot be copied to the cloud directly.	압축 폴더안의 파일은\n클라우드에 바로 복사 할 수 없습니다.	压缩文件内的文件，不能直接复制到云盘。
FXBrowserOpVC:Copying	Copying...	복사 중...	正在复制……
FXBrowserOpVC:Moving	Moving...	이동 중...	正在移动……
FXBrowserOpVC:Deleting	Deleting...	삭제 중...	正在删除……
FXBrowserOpVC:Downloading	Downloading...	다운로드 중...	正在下载……
FXBrowserOpVC:lblDeleteContent	Do you want to delete the item?	항목을 삭제하시겠습니까?	要删除此项吗？
FXBrowserOpVC:lblFolder	Folder	폴더	文件夹
FXBrowserOpVC:lblFile	File	파일	文件
FXBrowserOpVC:lblCopy	Copy	복사	复制
FXBrowserOpVC:lblMove	Move	이동	移动
FXBrowserOpVC:lblDelete	Delete	삭제	删除
FXBrowserOpVC:lblSend	Share	공유	共享
FXBrowserOpVC:alreadyOpenFolder	Folder(subfolder) is already open.	해당 폴더 및 하위 폴더가 열려 있습니다.	相应文件夹或子文件夹已被打开！
FXBrowserOpVC:errorCopySubFolder	Cannot copy to subfolder.	하위 폴더에는 복사할 수 없습니다.	不能复制到子文件夹内！
FXBrowserOpVC:CompleteDelete	Delete Completed	삭제 완료	删除完成！
FXBrowserOpVC:CompleteCopy	Copy Completed	이동 완료	复制完成！
FXBrowserOpVC:CompleteMove	Move Completed	복사 완료	移动完成！
FXBrowserOpVC:donotMoveFromZip	Cannot move from ZIP folder	Zip 폴더 안에서 이동 할 수 없습니다.	不能在 Zip 文件夹内移动！
FXBrowserOpVC:donotDeleteFromZip	Cannot delete from ZIP folder	Zip 폴더 안에서 삭제 할 수 없습니다.	不能删除 Zip 文件夹内文件！
FXBrowserOpVC:donotDeleteInbox	Cannot delete inbox folder.	Inbox 폴더는 삭제 할 수 없습니다.	不能删除 Inbox 文件夹！
FXBrowserOpVC:donotMoveInbox	Cannot move inbox folder.	Inbox 폴더는 이동 할 수 없습니다.	不能移动 Inbox 文件夹！
FXBrowserOpVC:donotCopyInbox	Cannot copy inbox folder.	Inbox 폴더는 복사 할 수 없습니다.	不能复制 Inbox 文件夹！
FXBrowserOpVC:alertNetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	서버 응답 오류(%d)	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXBrowserOpVC:alertNetworkError	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	请确认网络连接后，重试！
FXBrowserOpVC:notSupportFolder	Copying from the cloud is not supported.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	不支持复制云盘内文件夹！
FXBrowserOpVC:notSupportDownload	You must sync your files.	클라우드에서(로부터) 폴더 복사는 지원하지 않습니다.	您有需要同步的文件！
FXBrowserOpVC:alertDiskFull	Not enough memory.\nPlease clear some of your data first.	동기화가 필요한 파일이 존재합니다.	终端存储空间不足！\n请确保存储空间后，重试。
FXBrowserOpVC:WrongRequest	Server response error (%d).	단말 저장 공간이 부족합니다.\n저장 공간을 확보한 후\n다시 시도해 주세요.	服务器响应错误！ (%d)
FXBrowserOpVC:lblDownload	Download	다운로드	下载
FXBrowserOpVC:lblUpload	Upload	업로드	上传
FXBrowserOpVC:lblOnlyDownload	Only downloading from cloud is supported.	클라우드로부터 다운로드 기능만 제공 됩니다.	只提供从云盘下载的功能！
FXBrowserOpVC:alertUnknownError	An unknown error has occurred.	알 수 없는 오류가 발생하였습니다.	发生未知错误！
FXBrowserOpVC:Alert_NetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXBrowserOpVC:Error_AIRPLANE	Please turn off airplane mode to access the data.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	要访问数据，请先解除飞行模式！
FXBrowserOpVC:lblMoveFolder	Choose Folder to move	이동할 경로를 선택하세요.	选择文件夹移动
FXBrowserOpVC:lblCopyFolder	Choose Folder to copy	복사할 경로를 선택하세요.	选择文件夹复制
FXBrowserOpVC:lblChooseFolder	Choose Folder	경로를 선택하세요	选择文件夹
FXBrowserOpVC:NoSync	You cannot overwrite a file that has not been synced	동기화 안된 파일은 덮어쓸 수 없습니다.	不同步的文件不能被覆盖
FXBrowserOpVC:FailedToDeleteShare	Failed to delete the document. Please try again later.	문서를 삭제하지 못했습니다. 잠시 후에 다시 시도하십시오.	无法删除该文件。请在几分钟后再试一次。
			
FXTabRecentVC:lockStr	Locked.	잠금 설정을 하였습니다.	已设置锁定！
FXTabRecentVC:unlockStr	Unlocked.	잠금 해제를 하였습니다.	已解除锁定！
FXTabRecentVC:maximumLimited	Up to\n25 files can be locked.	파일 잠금 설정은 최대\n25개까지 가능합니다.	最多可对 25 个文件设置锁定
FXTabRecentVC:aRenameText	The text entered exceeds the maximum length.	최대 길이를 초과하였습니다.	已超过最大长度！
FXTabRecentVC:specialCharacter	Special characters (\\, /, :, *, ?, \, “, <, >, and |)\ncannot be used.	특수문자 (\\ / : * ? \ “ < > |)는\n사용할 수 없습니다.	不能使用特殊字符 (\\ / : * ? \ “ < > |)
			
FXBrowserTable:lblEmpty	No item.	항목 없음	无项目
FXBrowserTable:Error_ONZIP	Zip file error.	압축 파일 오류	压缩文件错误！
FXBrowserTable:invalidTask	You do not have permission to access the document.	해당 문서에 접근 권한이 없습니다.	没有权限访问相应文件！
FXBrowserTable:NoSyncFile	Try again after synchronizing is complete.	동기화완료 후 다시 시도해주세요.	重试后同步完成。
			
FXBrowserTableVC:btnFunc_File	New	신규	新增
FXBrowserTableVC:btnFunc_ZIP	ZIP	도구	道具
FXBrowserTableVC:btnFunc_NewFolder	New	새 폴더	新建文件夹
FXBrowserTableVC:btnSort	Sort	정렬	排序
FXBrowserTableVC:sort0	Title Up	제목 오름	标题升序
FXBrowserTableVC:sort1	Title Down	제목 내림	标题降序
FXBrowserTableVC:sort2	Date Up	날짜 오름	日期升序
FXBrowserTableVC:sort3	Date Down	날짜 내림	日期降序
FXBrowserTableVC:sort4	Format Up	형식 오름	格式升序
FXBrowserTableVC:sort5	Format Down	형식 내림	格式降序
FXBrowserTableVC:rootFolder	This is the root folder.	최상위 폴더 입니다.	这是最上级文件夹！
FXBrowserTableVC:downloading	Downloading...	다운로드 중...	正在下载……
FXBrowserTableVC:Error_OPENZIP	Invalid zip file.	유효하지 않은 압축파일 입니다.	无效的压缩文件！
FXBrowserTableVC:Error_ONZIP	Zip file error	압축 파일 오류	压缩文件错误！
FXBrowserTableVC:Error_DoubleZIP	Compressing a file within a compressed file is not supported.	압축 파일안의 압축파일은 지원하지 않습니다.	不支持压缩文件内的压缩文件！
FXBrowserTableVC:alertNetworkError	Please check your network status,\n and try again.	네트워크 확인 후\n다시 시도해 주세요.	请确认网络后，重试！
FXBrowserTableVC:invalidTask	You have been logged out because your log in information has been lost.	로그인 정보가 유실되어 로그아웃되었습니다.	由于丢失了登录信息，因此已退出登录！
FXBrowserTableVC:WrongRequest	Server response error (%d).	서버 응답 오류(%d)	服务器响应错误！(%d)
FXBrowserTableVC:DeletedFile	The document does not exist. Please try again.	해당 문서가 존재하지 않습니다.\n 다시 한 번 확인해 주세요.	相应文件不存在！\n请重新确认。
FXBrowserTableVC:errorExtractDrive	Extracting this data is not supported.	해당 스토리지는 압축 해제를 지원하지 않습니다.	相应云盘不支持解压！
FXBrowserTableVC:Error_Editing	Please select the check box.	체크박스를 선택해 주세요.	请选择复选框！
FXBrowserTableVC:Error_Download	Download Failed	다운로드를 실패하였습니다.	下载失败！
FXBrowserTableVC:Recent	Recent Document	최근 문서	最近所用文件
FXBrowserTableVC:Shared	Shared Document	공유 문서	共享的文件
FXBrowserTableVC:invalidTask	You do not have permission to access this document.	해당 문서에 접근 권한이 없습니다.	没有权限访问相应文件！
FXBrowserTableVC:alertNetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXBrowserTableVC:taskError	You cannot access the service \n because the service is temporarily unavailable. \n Please try again later.	일시적인 서비스 장애로 접속이 원할하지 않습니다. 잠시 후 다시 시도해 주세요.	由于出现暂时的业务障碍，系统连接不畅通！请稍后重试。
FXBrowserTableVC:order.group	Group	그룹	组合
FXBrowserTableVC:order.time	Time	시간	时间
FXBrowserTableVC:saveLocation	Save to : My document %@	저장위치 : 내 문서 %@	存储位置 : 我的文档 %@
FXBrowserTableVC:NoSyncFile	Try again after synchronizing is complete.	동기화완료 후 다시 시도해주세요.	重试后同步完成。
FXBrowserTableVC:maxFileLength	File/Folder names can contain up to %d characters.	파일/폴더 이름은 %d자를 넘어갈 수 없습니다.	文件名称最多可包含 %d 个字符。
			
FXInformationVC:lblFileInfo	File Information	파일정보	文件信息
FXInformationVC:lblFolderInfo	Folder Information	폴더정보	文件夹信息
FXInformationVC:lblDetails	Details	상세정보	详细信息
FXInformationVC:lblShareInfo	Sharing Information	문서 공유 정보	文档共享信息
FXInformationVC:lblClose	Close	닫기	关闭
FXInformationVC:CompleteDelete	Delete Completed	삭제가 완료 되었습니다.	删除完成！
FXInformationVC:completeMail	Emailing Completed	메일 전달 완료.	邮件发送完成！
FXInformationVC:downloading	Downloading..	다운로드 중..	正在下载……
FXInformationVC:invalidTask	You do not have permission to access this document.	해당 문서에 접근 권한이 없습니다.	没有权限访问相应文件！
FXInformationVC:FailedToDeleteShare	Failed to delete the document. Please try again later.	문서를 삭제하지 못했습니다. 잠시 후에 다시 시도하십시오.	无法删除该文件。请在几分钟后再试一次。
FXInformationVC:NoSyncFile	Try again after synchronizing is complete.	동기화완료 후 다시 시도해주세요.	重试后同步完成。
			
FXInfoThumbVC:downloading	Downloading...	다운로드 중...	正在下载…….
FXInfoThumbVC:Error_AIRPLANE	To access the data,\nplease turn off Airplane mode.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
FXInfoThumbVC:Alert_NetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXInfoThumbVC:maxFileLength	File/Folder names can contain up to %d characters.	파일/폴더 이름은 %d자를 넘어갈 수 없습니다.	文件名称最多可包含 %d 个字符。
			
FXInfoTextVC:fileName	File Name	이름	文件名
FXInfoTextVC:extension	Type	종류	类型
FXInfoTextVC:path	Location	경로	路径
FXInfoTextVC:size	Size	용량	大小
FXInfoTextVC:folderCount	Folder Count	폴더	文件夹
FXInfoTextVC:fileCount	File Count	파일	文件
FXInfoTextVC:docTitle	Title	제목	标题
FXInfoTextVC:createUser	Creator	작성	创建
FXInfoTextVC:modifyUser	Last saved by	수정	修改
FXInfoTextVC:date_modify	Modified	날짜	日期
FXInfoTextVC:wordCount	Word Count	단어수	字数
FXInfoTextVC:folder	Folder	폴더	文件夹
FXInfoTextVC:btnEdit	Edit	편집	编辑
FXInfoTextVC:shared	Shared Document	공유 문서	共享的文件
FXInfoTextVC:myDocument	My Document	내 문서	我的文件
FXInfoTextVC:public	Public	공개	公开
FXInfoTextVC:private	Private	비공개	私人
			
FXInfoBtnVC:Share	Share	전달	传送
FXInfoBtnVC:Delete	Delete	삭제	删除
FXInfoBtnVC:lblFolderDelete	Do you want to delete this folder?	다음 폴더를 삭제하시겠습니까?	您要删除此文件夹吗？
FXInfoBtnVC:lblFileDelete	Do you want to delete this file?	다음 파일을 삭제하시겠습니까?	您要删除此文件吗？
FXInfoBtnVC:Send	Send	보내기	发送
FXInfoBtnVC:failedCreateWeblink	Link cannot be created. Please reconnect to the network and try it again.	네크워크가 연결되지 않아 링크를 생성할 수 없습니다.	没有连接网络，无法生成链接！
FXInfoBtnVC:sendWeblinkMailTitle	%@' document's link has been shared.	%@' 문서의 링크를 공유하였습니다.	已共享 \%@\" 文件链接！"
FXInfoBtnVC:sendWeblinkMailBody	%@<%@> has been shared '%@' document's link.\n\n%@\n\n\Polaris Office allows you to collaborate and work on your documents anytime and anywhere.\""	%@<%@>님이 '%@' 문서의 링크를 공유하였습니다.\n\n%@\n\n\Polaris Office를 통해 문서를 기반으로 동료와 커뮤니케이션하고 언제 어디서나 연속적인 문서 작업을 할 수 있습니다.\""	%@<%@> 共享了 \%@\" 文件链接。\n\n%@\n\n\"可通过 Polaris Office，围绕着所共享的文件，与同事进行沟通，并随时随地连续进行文档处理。\""
FXInfoBtnVC:sendWeblinkFacebook	Document has been shared in Polaris Office.	Polaris Office에서 문서를 공유하였습니다.	在 Polaris Office 共享了文件
FXInfoBtnVC:sendWeblinkTwitter	Document has been shared in Polaris Office.\n%@ %@	Polaris Office에서 문서를 공유하였습니다.\n%@ %@	在 Polaris Office 共享了文件\n%@ %@
FXInfoBtnVC:SNSNameTwitter	Twitter	트위터	Twitter
FXInfoBtnVC:SNSNameFacebook	Facebook	페이스북	Facebook
FXInfoBtnVC:SNSConfigureNeeded	Register %@ account\nand try it again.	%@ 계정 설정 후 다시 시도해주세요.	请设置 %@ 账户后，重试！
FXInfoBtnVC:error116	You are not authorized to access the document.	해당 문서에 접근 권한이\n없습니다.	没有权限访问相应文件！
FXInfoBtnVC:copyToClipboard	Copy to clipboard.	클립보드에 복사되었습니다.	已复制到剪贴板！
FXInfoBtnVC:Error_AIRPLANE	To access the data,\nplease turn off Airplane mode.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
FXInfoBtnVC:Alert_NetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXInfoBtnVC:share.kakao.msg	Document has been shared in Polaris Office.	Polaris Office에서 문서를 공유하였습니다.	在 Polaris Office 共享了文件
FXInfoBtnVC:share.line.msg	Document has been shared in Polaris Office.\n%@	Polaris Office에서 문서를 공유하였습니다.\n%@	在 Polaris Office 共享了文件\n%@
			
FXPopBrowserVC:btnClose	Close	닫기	关闭
			
FXRenameVC:newFolder	New Folder	새 폴더	新建文件夹
FXRenameVC:sameFolder	The folder with this name already exists in this folder.	동일한 폴더가 존재합니다.	已有相同文件夹！
FXRenameVC:sameFile	The file with this name already exists in this folder.	동일한 파일이 존재합니다.	已有相同文件！
FXRenameVC:errorCreateFolder	Cannot be created due to \n limitation of the system and cloud.	시스템 및 클라우드 제한으로\n생성할 수 없습니다.	由于系统和云盘限制，无法创建文件夹！
FXRenameVC:errorChangeName	Cannot be changed due to \n limitation of the system and cloud.	시스템 및 클라우드 제한으로\n변경할 수 없습니다.	由于系统和云盘限制，无法更改名称！
FXRenameVC:ChangeName	Change name	이름 변경	更改昵称
FXRenameVC:CreateFolder	Create Folder	폴더 생성	创建文件夹
FXRenameVC:Done	Done	완료	完成
FXRenameVC:Cancel	Cancel	취소	取消
FXRenameVC:aRenameText	The text entered exceeds the maximum length.	최대 길이를 초과하였습니다.	已超过最大长度！
